,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,FamilySize,Enrolled,Total
30,PostGraduated,Alone,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,34,1,9,30
31,PostGraduated,Together,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,60,2,10,318
32,Graduation,Together,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,53,3,11,120
33,PostGraduated,Alone,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,71,3,11,302
34,PostGraduated,Together,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,77,2,10,1196
35,PostGraduated,Alone,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,72,3,10,65
36,PostGraduated,Together,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,53,3,10,913
37,UnderGraduate,Together,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,47,3,10,81
38,Graduation,Alone,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,50,2,9,67
39,PostGraduated,Alone,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,80,1,10,902
40,Graduation,Together,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,43,3,10,1395
41,PostGraduated,Together,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,38,3,10,53
42,Graduation,Together,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,66,3,11,22
44,PostGraduated,Together,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,48,3,10,31
45,Graduation,Alone,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,47,1,9,984
46,UnderGraduate,Together,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,27,2,11,122
47,Graduation,Together,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,55,3,10,55
49,PostGraduated,Together,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,69,4,11,1319
50,Graduation,Alone,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,66,2,9,507
51,PostGraduated,Together,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,59,2,11,1693
52,Graduation,Alone,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,46,2,10,72
53,Graduation,Alone,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,46,1,9,1617
54,Graduation,Together,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,45,4,10,606
55,PostGraduated,Together,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,68,2,11,1957
56,Graduation,Alone,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,57,1,10,1093
57,Graduation,Alone,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,35,2,9,29
59,PostGraduated,Together,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,55,3,9,518
60,PostGraduated,Alone,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,41,1,10,1438
61,Graduation,Together,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,48,4,11,612
62,Graduation,Alone,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,71,2,10,884
63,PostGraduated,Alone,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,72,2,10,606
64,Graduation,Together,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,75,2,10,1076
65,Graduation,Together,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,52,3,10,34
66,Graduation,Together,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,56,4,9,11
67,UnderGraduate,Alone,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,44,2,9,1274
68,Graduation,Together,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,65,3,10,653
69,Graduation,Together,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,53,5,10,1562
70,PostGraduated,Together,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,69,2,11,1253
72,Graduation,Together,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,64,3,10,863
73,PostGraduated,Together,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,48,4,10,661
74,Graduation,Together,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,71,2,9,65
75,Graduation,Alone,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,46,2,11,13
76,PostGraduated,Together,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,51,2,11,1890
77,Graduation,Alone,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,47,1,11,2209
78,UnderGraduate,Together,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,47,2,10,18
79,Graduation,Together,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,58,2,10,692
80,Graduation,Alone,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,38,2,11,165
81,Graduation,Together,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,54,3,10,16
82,UnderGraduate,Together,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,50,3,10,79
83,PostGraduated,Together,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,60,2,10,318
84,Graduation,Alone,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,36,1,9,778
85,Graduation,Together,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,63,4,10,56
86,PostGraduated,Together,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,53,4,10,151
87,Graduation,Alone,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,66,2,9,372
88,Graduation,Together,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,50,2,9,1366
89,Graduation,Together,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,56,3,9,194
93,PostGraduated,Alone,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,51,2,9,32
94,PostGraduated,Together,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,53,3,9,43
95,Graduation,Together,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,40,3,9,45
96,Graduation,Alone,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,63,2,11,606
97,Graduation,Alone,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,51,3,10,63
98,UnderGraduate,Together,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,72,2,10,978
99,PostGraduated,Together,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,40,2,10,410
100,UnderGraduate,Alone,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,63,2,10,72
101,PostGraduated,Alone,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,64,2,9,55
102,Graduation,Together,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,44,3,10,1169
103,PostGraduated,Together,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,78,2,10,1120
104,Graduation,Together,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,64,2,9,1097
105,UnderGraduate,Together,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,44,3,10,29
106,Graduation,Together,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,59,4,10,187
107,Graduation,Together,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,54,4,10,910
108,Graduation,Alone,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,45,2,11,145
109,PostGraduated,Together,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,63,2,11,850
110,Graduation,Together,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,44,3,10,969
111,PostGraduated,Alone,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,32,1,11,1820
112,PostGraduated,Together,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,60,3,9,608
113,Graduation,Alone,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,32,1,10,730
114,PostGraduated,Together,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,43,3,11,551
115,Graduation,Alone,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,61,3,10,114
116,Graduation,Together,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,53,2,9,1724
117,UnderGraduate,Together,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,45,3,10,577
118,UnderGraduate,Together,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,56,4,10,81
119,Graduation,Together,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,54,3,10,33
120,PostGraduated,Together,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,70,3,10,660
121,PostGraduated,Alone,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,56,2,9,80
122,PostGraduated,Together,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,38,4,10,30
123,Graduation,Alone,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,47,2,10,43
124,Graduation,Alone,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,40,1,10,1135
125,UnderGraduate,Together,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,58,2,10,559
126,Graduation,Alone,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,39,1,10,1923
127,PostGraduated,Together,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,70,4,9,90
129,PostGraduated,Together,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,67,4,9,661
130,Graduation,Together,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,71,3,10,463
131,PostGraduated,Alone,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,65,3,10,632
132,Graduation,Together,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,54,2,9,725
134,PostGraduated,Together,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,59,4,10,279
135,PostGraduated,Together,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,56,2,10,1482
136,UnderGraduate,Alone,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,47,2,11,29
137,PostGraduated,Together,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,64,5,10,106
138,PostGraduated,Alone,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,50,3,9,49
139,PostGraduated,Alone,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,58,3,10,38
140,PostGraduated,Alone,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,31,1,11,2077
141,PostGraduated,Together,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,47,3,10,1053
142,Graduation,Together,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,61,2,10,1385
143,PostGraduated,Alone,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,49,2,10,871
144,Graduation,Together,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,35,3,10,312
145,Graduation,Together,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,47,4,11,877
146,Graduation,Together,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,48,3,11,68
147,Graduation,Together,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0,42,3,10,22
148,UnderGraduate,Together,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,50,5,11,211
149,PostGraduated,Together,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0,57,2,9,127
150,PostGraduated,Together,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0,70,4,9,459
151,Graduation,Together,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0,54,3,9,460
152,UnderGraduate,Together,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0,51,3,11,429
153,Graduation,Alone,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0,35,2,9,89
154,PostGraduated,Together,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0,71,3,11,1021
155,Graduation,Together,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1,74,2,10,1381
156,Graduation,Alone,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,0,65,2,10,306
157,Graduation,Alone,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0,45,4,10,18
158,Graduation,Together,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0,46,3,10,162
159,Graduation,Alone,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,3,11,0,68,1,10,1231
160,PostGraduated,Alone,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,11,0,65,4,10,13
161,PostGraduated,Together,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,3,11,0,78,2,11,1706
162,Graduation,Together,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,3,11,0,39,3,9,121
163,PostGraduated,Alone,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,3,11,0,48,1,10,1293
164,PostGraduated,Together,157243.0,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,3,11,0,50,3,9,1608
165,Graduation,Together,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,3,11,0,57,5,10,88
166,Graduation,Alone,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,3,11,0,70,1,10,421
167,Graduation,Alone,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,3,11,0,64,1,10,259
168,Graduation,Alone,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,3,11,0,35,1,10,1117
169,Graduation,Together,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,3,11,0,66,4,9,89
170,Graduation,Together,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,58,4,9,36
171,Graduation,Together,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,3,11,0,41,3,10,57
172,Graduation,Together,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,3,11,0,53,4,9,148
173,PostGraduated,Together,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,3,11,0,64,4,9,93
174,Graduation,Alone,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,3,11,0,56,2,9,119
175,PostGraduated,Together,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,3,11,0,48,3,11,1835
176,PostGraduated,Together,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,3,11,1,75,2,11,1318
177,PostGraduated,Together,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,53,4,9,45
178,Graduation,Together,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,3,11,0,64,5,9,10
179,UnderGraduate,Together,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,72,2,10,978
180,PostGraduated,Together,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,3,11,0,47,3,9,191
181,UnderGraduate,Together,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,3,11,0,35,3,9,57
182,PostGraduated,Together,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,3,11,0,77,2,10,1033
183,PostGraduated,Together,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,3,11,0,39,3,9,66
184,UnderGraduate,Together,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,3,11,0,62,2,9,43
185,Graduation,Together,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,3,11,0,40,3,11,50
186,PostGraduated,Alone,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,3,11,0,53,2,9,39
187,Graduation,Together,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,3,11,0,57,3,10,608
188,Graduation,Together,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,3,11,0,47,2,10,1581
189,PostGraduated,Together,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,59,4,10,68
190,UnderGraduate,Together,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,3,11,0,45,3,11,80
191,PostGraduated,Together,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,3,11,0,34,2,10,1282
192,UnderGraduate,Alone,36640.0,99,15,6,8,7,4,25,1,2,1,2,5,0,0,0,0,0,1,3,11,0,123,2,10,65
193,Graduation,Together,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,3,11,0,35,3,10,91
194,Graduation,Together,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,3,11,0,50,4,10,315
195,Graduation,Together,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,3,11,0,46,4,10,31
196,PostGraduated,Together,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,3,11,0,43,2,9,834
197,Graduation,Together,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,3,11,0,69,2,10,1600
198,Graduation,Together,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,3,11,0,69,2,10,1270
199,PostGraduated,Alone,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,3,11,1,50,3,9,263
200,Graduation,Alone,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,3,11,0,71,2,9,535
201,Graduation,Alone,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,3,11,0,55,1,10,1295
202,Graduation,Alone,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,3,11,0,45,2,10,1150
203,PostGraduated,Together,102160.0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,3,11,1,46,2,11,1240
204,PostGraduated,Alone,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,3,11,0,58,3,10,38
205,PostGraduated,Alone,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,3,11,1,39,1,11,35
206,Graduation,Together,29604.0,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,3,11,0,35,3,10,53
207,PostGraduated,Alone,48721.0,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,3,11,0,60,3,10,293
208,Graduation,Together,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,3,11,0,57,3,9,65
209,Graduation,Alone,64497.0,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,3,11,1,69,2,11,1804
210,Graduation,Together,46097.0,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,3,11,0,67,3,10,241
211,Graduation,Together,77972.0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,3,11,0,69,2,9,1101
212,PostGraduated,Together,44377.0,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,3,11,0,55,4,11,264
213,PostGraduated,Together,46014.0,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,3,11,0,49,4,10,541
